lenguaje,n,algoritmo,escenario,repeticion,clave,posicion_origen,posicion,comparaciones,tiempo_ns
C++,1000,binaria,ausente,18,18288,-1,-1,10,40
C++,1000,binaria,centro,18,14665,500,406,9,30
C++,1000,binaria,ausente,11,18288,-1,-1,10,30
C++,1000,lineal,inicio,30,13405,0,0,1,20
C++,1000,binaria,final,2,15130,999,502,8,30
C++,1000,binaria,ausente,4,18288,-1,-1,10,30
C++,1000,binaria,final,24,15130,999,502,8,40
C++,1000,binaria,final,3,15130,999,502,8,30
C++,1000,lineal,inicio,15,13405,0,0,1,30
C++,1000,binaria,ausente,30,18288,-1,-1,10,30
C++,1000,lineal,inicio,3,13405,0,0,1,20
C++,1000,binaria,centro,9,14665,500,406,9,40
C++,1000,binaria,centro,16,14665,500,406,9,41
C++,1000,binaria,ausente,9,18288,-1,-1,10,30
C++,1000,lineal,ausente,18,18288,-1,-1,1000,301
C++,1000,binaria,centro,2,14665,500,406,9,40
C++,1000,binaria,ausente,12,18288,-1,-1,10,30
C++,1000,lineal,ausente,25,18288,-1,-1,1000,301
C++,1000,binaria,ausente,8,18288,-1,-1,10,30
C++,1000,binaria,centro,11,14665,500,406,9,40
C++,1000,lineal,ausente,19,18288,-1,-1,1000,300
C++,1000,binaria,final,14,15130,999,502,8,40
C++,1000,binaria,ausente,10,18288,-1,-1,10,30
C++,1000,lineal,inicio,16,13405,0,0,1,20
C++,1000,lineal,ausente,29,18288,-1,-1,1000,300
C++,1000,lineal,final,7,15130,999,999,1000,300
C++,1000,lineal,inicio,29,13405,0,0,1,20
C++,1000,lineal,centro,5,14665,500,500,501,170
C++,1000,binaria,centro,19,14665,500,406,9,40
C++,1000,binaria,inicio,3,13405,0,187,9,40
C++,1000,binaria,ausente,27,18288,-1,-1,10,30
C++,1000,binaria,inicio,24,13405,0,187,9,40
C++,1000,lineal,centro,13,14665,500,500,501,171
C++,1000,lineal,centro,8,14665,500,500,501,170
C++,1000,lineal,ausente,26,18288,-1,-1,1000,300
C++,1000,binaria,inicio,11,13405,0,187,9,41
C++,1000,lineal,final,2,15130,999,999,1000,300
C++,1000,binaria,final,4,15130,999,502,8,40
C++,1000,lineal,final,22,15130,999,999,1000,301
C++,1000,lineal,centro,14,14665,500,500,501,160
C++,1000,lineal,inicio,22,13405,0,0,1,20
C++,1000,binaria,inicio,29,13405,0,187,9,40
C++,1000,binaria,ausente,25,18288,-1,-1,10,30
C++,1000,binaria,ausente,29,18288,-1,-1,10,40
C++,1000,binaria,final,11,15130,999,502,8,30
C++,1000,lineal,centro,22,14665,500,500,501,160
C++,1000,lineal,inicio,5,13405,0,0,1,31
C++,1000,lineal,centro,17,14665,500,500,501,170
C++,1000,binaria,final,18,15130,999,502,8,40
C++,1000,lineal,inicio,10,13405,0,0,1,30
C++,1000,lineal,final,29,15130,999,999,1000,301
C++,1000,binaria,ausente,5,18288,-1,-1,10,30
C++,1000,lineal,inicio,6,13405,0,0,1,20
C++,1000,binaria,final,7,15130,999,502,8,30
C++,1000,lineal,final,5,15130,999,999,1000,300
C++,1000,lineal,centro,1,14665,500,500,501,171
C++,1000,binaria,ausente,6,18288,-1,-1,10,40
C++,1000,binaria,final,26,15130,999,502,8,40
C++,1000,binaria,inicio,5,13405,0,187,9,40
C++,1000,binaria,inicio,16,13405,0,187,9,30
C++,1000,binaria,inicio,4,13405,0,187,9,30
C++,1000,binaria,final,12,15130,999,502,8,30
C++,1000,lineal,final,17,15130,999,999,1000,300
C++,1000,lineal,inicio,28,13405,0,0,1,20
C++,1000,lineal,ausente,5,18288,-1,-1,1000,301
C++,1000,lineal,centro,26,14665,500,500,501,170
C++,1000,lineal,ausente,21,18288,-1,-1,1000,300
C++,1000,binaria,centro,26,14665,500,406,9,50
C++,1000,binaria,ausente,13,18288,-1,-1,10,40
C++,1000,lineal,inicio,11,13405,0,0,1,31
C++,1000,lineal,ausente,30,18288,-1,-1,1000,300
C++,1000,binaria,inicio,17,13405,0,187,9,30
C++,1000,binaria,final,23,15130,999,502,8,40
C++,1000,lineal,ausente,17,18288,-1,-1,1000,300
C++,1000,lineal,inicio,25,13405,0,0,1,31
C++,1000,lineal,centro,27,14665,500,500,501,170
C++,1000,binaria,ausente,21,18288,-1,-1,10,51
C++,1000,lineal,ausente,10,18288,-1,-1,1000,300
C++,1000,lineal,final,4,15130,999,999,1000,310
C++,1000,binaria,inicio,1,13405,0,187,9,30
C++,1000,lineal,centro,3,14665,500,500,501,160
C++,1000,lineal,centro,11,14665,500,500,501,170
C++,1000,lineal,centro,21,14665,500,500,501,161
C++,1000,binaria,final,28,15130,999,502,8,30
C++,1000,lineal,inicio,4,13405,0,0,1,30
C++,1000,lineal,ausente,27,18288,-1,-1,1000,300
C++,1000,binaria,centro,30,14665,500,406,9,40
C++,1000,binaria,ausente,3,18288,-1,-1,10,30
C++,1000,binaria,inicio,20,13405,0,187,9,30
C++,1000,binaria,final,30,15130,999,502,8,50
C++,1000,binaria,final,22,15130,999,502,8,30
C++,1000,binaria,inicio,26,13405,0,187,9,30
C++,1000,binaria,ausente,15,18288,-1,-1,10,31
C++,1000,binaria,ausente,26,18288,-1,-1,10,60
C++,1000,lineal,final,8,15130,999,999,1000,300
C++,1000,binaria,final,1,15130,999,502,8,40
C++,1000,lineal,centro,25,14665,500,500,501,161
C++,1000,binaria,centro,21,14665,500,406,9,40
C++,1000,lineal,final,11,15130,999,999,1000,311
C++,1000,binaria,centro,17,14665,500,406,9,40
C++,1000,lineal,final,18,15130,999,999,1000,300
C++,1000,binaria,centro,14,14665,500,406,9,30
C++,1000,lineal,centro,7,14665,500,500,501,160
C++,1000,lineal,inicio,2,13405,0,0,1,30
C++,1000,lineal,final,16,15130,999,999,1000,291
C++,1000,lineal,inicio,24,13405,0,0,1,30
C++,1000,lineal,centro,16,14665,500,500,501,161
C++,1000,lineal,inicio,18,13405,0,0,1,30
C++,1000,binaria,centro,29,14665,500,406,9,31
C++,1000,lineal,ausente,14,18288,-1,-1,1000,300
C++,1000,lineal,final,9,15130,999,999,1000,300
C++,1000,lineal,final,30,15130,999,999,1000,300
C++,1000,lineal,inicio,7,13405,0,0,1,30
C++,1000,lineal,ausente,2,18288,-1,-1,1000,290
C++,1000,lineal,inicio,9,13405,0,0,1,20
C++,1000,lineal,centro,18,14665,500,500,501,160
C++,1000,binaria,final,10,15130,999,502,8,30
C++,1000,lineal,centro,20,14665,500,500,501,170
C++,1000,lineal,final,14,15130,999,999,1000,300
C++,1000,binaria,centro,10,14665,500,406,9,30
C++,1000,binaria,inicio,28,13405,0,187,9,30
C++,1000,binaria,inicio,12,13405,0,187,9,40
C++,1000,binaria,centro,4,14665,500,406,9,30
C++,1000,binaria,centro,27,14665,500,406,9,31
C++,1000,lineal,centro,29,14665,500,500,501,170
C++,1000,lineal,final,12,15130,999,999,1000,300
C++,1000,binaria,final,6,15130,999,502,8,40
C++,1000,lineal,centro,15,14665,500,500,501,170
C++,1000,lineal,final,15,15130,999,999,1000,301
C++,1000,binaria,inicio,8,13405,0,187,9,30
C++,1000,lineal,final,27,15130,999,999,1000,300
C++,1000,binaria,ausente,7,18288,-1,-1,10,40
C++,1000,lineal,final,6,15130,999,999,1000,300
C++,1000,binaria,final,25,15130,999,502,8,20
C++,1000,lineal,inicio,19,13405,0,0,1,20
C++,1000,lineal,centro,28,14665,500,500,501,160
C++,1000,binaria,centro,13,14665,500,406,9,30
C++,1000,lineal,final,25,15130,999,999,1000,300
C++,1000,binaria,inicio,21,13405,0,187,9,30
C++,1000,binaria,centro,7,14665,500,406,9,30
C++,1000,binaria,centro,20,14665,500,406,9,31
C++,1000,lineal,ausente,11,18288,-1,-1,1000,290
C++,1000,binaria,final,29,15130,999,502,8,30
C++,1000,lineal,final,20,15130,999,999,1000,301
C++,1000,binaria,centro,3,14665,500,406,9,30
C++,1000,lineal,centro,9,14665,500,500,501,161
C++,1000,binaria,ausente,17,18288,-1,-1,10,50
C++,1000,lineal,centro,6,14665,500,500,501,161
C++,1000,lineal,ausente,8,18288,-1,-1,1000,301
C++,1000,binaria,centro,12,14665,500,406,9,40
C++,1000,lineal,inicio,8,13405,0,0,1,30
C++,1000,lineal,ausente,24,18288,-1,-1,1000,300
C++,1000,binaria,inicio,2,13405,0,187,9,40
C++,1000,binaria,inicio,6,13405,0,187,9,40
C++,1000,binaria,inicio,19,13405,0,187,9,30
C++,1000,lineal,final,13,15130,999,999,1000,301
C++,1000,binaria,inicio,15,13405,0,187,9,40
C++,1000,lineal,inicio,23,13405,0,0,1,30
C++,1000,binaria,centro,24,14665,500,406,9,30
C++,1000,binaria,centro,23,14665,500,406,9,40
C++,1000,lineal,final,19,15130,999,999,1000,300
C++,1000,binaria,inicio,25,13405,0,187,9,30
C++,1000,lineal,ausente,16,18288,-1,-1,1000,300
C++,1000,binaria,centro,1,14665,500,406,9,30
C++,1000,lineal,final,26,15130,999,999,1000,301
C++,1000,lineal,ausente,23,18288,-1,-1,1000,300
C++,1000,lineal,final,24,15130,999,999,1000,300
C++,1000,lineal,inicio,13,13405,0,0,1,30
C++,1000,lineal,ausente,4,18288,-1,-1,1000,290
C++,1000,lineal,final,21,15130,999,999,1000,300
C++,1000,binaria,inicio,18,13405,0,187,9,30
C++,1000,binaria,centro,22,14665,500,406,9,30
C++,1000,binaria,final,5,15130,999,502,8,30
C++,1000,lineal,ausente,20,18288,-1,-1,1000,300
C++,1000,binaria,ausente,19,18288,-1,-1,10,40
C++,1000,lineal,centro,30,14665,500,500,501,160
C++,1000,binaria,inicio,7,13405,0,187,9,40
C++,1000,binaria,centro,28,14665,500,406,9,40
C++,1000,lineal,ausente,3,18288,-1,-1,1000,300
C++,1000,lineal,ausente,7,18288,-1,-1,1000,290
C++,1000,binaria,ausente,20,18288,-1,-1,10,30
C++,1000,lineal,final,28,15130,999,999,1000,300
C++,1000,lineal,final,23,15130,999,999,1000,300
C++,1000,binaria,ausente,14,18288,-1,-1,10,30
C++,1000,binaria,ausente,23,18288,-1,-1,10,30
C++,1000,binaria,final,13,15130,999,502,8,30
C++,1000,lineal,centro,12,14665,500,500,501,170
C++,1000,binaria,ausente,28,18288,-1,-1,10,41
C++,1000,lineal,inicio,14,13405,0,0,1,20
C++,1000,lineal,centro,19,14665,500,500,501,161
C++,1000,binaria,final,9,15130,999,502,8,40
C++,1000,binaria,final,15,15130,999,502,8,40
C++,1000,binaria,final,17,15130,999,502,8,30
C++,1000,binaria,final,20,15130,999,502,8,30
C++,1000,binaria,centro,5,14665,500,406,9,30
C++,1000,binaria,ausente,16,18288,-1,-1,10,30
C++,1000,lineal,ausente,15,18288,-1,-1,1000,300
C++,10000,binaria,ausente,19,18288,-1,-1,14,100
C++,10000,lineal,final,26,15100,9999,9999,10000,2784
C++,10000,lineal,final,3,15100,9999,9999,10000,2785
C++,10000,binaria,centro,27,15825,5000,6022,14,150
C++,10000,lineal,inicio,4,14101,0,0,1,40
C++,10000,lineal,ausente,17,18288,-1,-1,10000,2754
C++,10000,binaria,final,21,15100,9999,4912,12,130
C++,10000,binaria,ausente,23,18288,-1,-1,14,60
C++,10000,binaria,inicio,25,14101,0,2844,14,120
C++,10000,binaria,final,1,15100,9999,4912,12,60
C++,10000,binaria,centro,25,15825,5000,6022,14,100
C++,10000,binaria,ausente,7,18288,-1,-1,14,30
C++,10000,lineal,final,6,15100,9999,9999,10000,2774
C++,10000,lineal,inicio,18,14101,0,0,1,20
C++,10000,binaria,centro,24,15825,5000,6022,14,60
C++,10000,lineal,final,13,15100,9999,9999,10000,2754
C++,10000,binaria,inicio,20,14101,0,2844,14,60
C++,10000,lineal,centro,27,15825,5000,5000,5001,1392
C++,10000,lineal,centro,12,15825,5000,5000,5001,1392
C++,10000,lineal,ausente,23,18288,-1,-1,10000,2744
C++,10000,binaria,final,13,15100,9999,4912,12,50
C++,10000,lineal,inicio,30,14101,0,0,1,30
C++,10000,binaria,final,10,15100,9999,4912,12,40
C++,10000,binaria,ausente,24,18288,-1,-1,14,40
C++,10000,lineal,ausente,30,18288,-1,-1,10000,2734
C++,10000,binaria,inicio,23,14101,0,2844,14,50
C++,10000,lineal,ausente,5,18288,-1,-1,10000,2744
C++,10000,lineal,inicio,15,14101,0,0,1,30
C++,10000,binaria,final,28,15100,9999,4912,12,40
C++,10000,binaria,final,29,15100,9999,4912,12,40
C++,10000,binaria,centro,6,15825,5000,6022,14,40
C++,10000,lineal,ausente,14,18288,-1,-1,10000,2744
C++,10000,lineal,final,30,15100,9999,9999,10000,2744
C++,10000,lineal,inicio,17,14101,0,0,1,30
C++,10000,lineal,inicio,27,14101,0,0,1,30
C++,10000,lineal,inicio,25,14101,0,0,1,20
C++,10000,lineal,ausente,3,18288,-1,-1,10000,2744
C++,10000,binaria,inicio,26,14101,0,2844,14,40
